code,name
R95.9,Hội chứng đột tử trẻ em không đề cập đến khám nghiệm tử thi
R95.0,Hội chứng đột tử trẻ em có đề cập đến khám nghiệm tử thi
R22.1,"Sưng khu trú, khối và cục ở cổ"
R22.2,"Sưng khu trú, khối và cục ở thân mình"
R22.4,"Sưng khu trú, khối và cục ở chi dưới"
R22.3,"Sưng khu trú, khối và cục ở chi trên"
R22.0,"Sưng khu trú, khối và cục ở đầu"
R22.7,"Sưng khu trú, khối và cục ở nhiều vị trí"
R22.9,"Sưng khu trú, khối và cục, không đặc hiệu"
R23.4,Thay đổi kết cấu da
R23.2,Chứng đỏ bừng mặt
R23.1,Da xanh nhợt
R23.0,Da xanh tím
R23.3,Ban xuất huyết ngẫu phát
R23.8,Các thay đổi khác và không xác định của da
R20.1,Giảm cảm giác da
R20.3,Tăng cảm giác
R20.0,Mất cảm giác da
R20.8,Rối loạn khác và không xác định của cảm giác da
R20.2,Dị cảm da
D55.0,Thiếu máu do thiếu men glucose- 6- phosphate dehydrogenase
D55.9,"Thiếu máu do rối loạn men, không đặc hiệu"
D55.3,Thiếu máu do rối loạn chuyển hoá nucleotide
D55.2,Thiếu máu do rối loạn các men phân giải glucose
D55.1,Thiếu máu do các rối loạn chuyển hoá glutathione khác
D55.8,Thiếu máu khác do rối loạn men
D57.3,Hồng cầu hình liềm thể nhẹ
D57.8,Rối loạn hồng cầu hình liềm khác
D57.2,Di hợp tử kép hồng cầu hình liềm với các Hb bất thường khác
D57.1,Thiếu máu hồng cầu hình liềm không có cơn tan máu
D57.0,Thiếu máu hồng cầu hình liềm có cơn tan máu
D59.2,Thiếu máu tan máu do thuốc không phải tự miễn dịch
D59.6,Đái huyết sắc tố do tan máu từ những nguyên nhân ngoại sinh khác
D59.8,Các thiếu máu tan máu mắc phải khác
D59.0,Thiếu máu tan máu tự miễn dịch do thuốc
D59.5,Đái huyết sắc tố kịch phát ban đêm [Hội chứng Marchifava- Micheli]
D59.3,Hội chứng tan máu tăng urê máu
D59.4,Các thiếu máu tan máu không phải tự miễn dịch khác
D59.9,Thiếu máu tan máu mắc phải không đặc hiệu
D59.1,Các thiếu máu tan máu tự miễn dịch khác
D56.2,Bệnh thalassemia thể delta- beta
D56.9,Thalassemia không đặc hiệu
D56.0,Bệnh Alpha thalassemia
D56.4,Tồn tại di truyền huyết sắc tố bào thai
D56.8,Các bệnh Thalassemia thể khác
D56.3,Bệnh Thalassemia thể nhẹ
D56.1,Bệnh Beta thalassemia
D58.0,Hồng cầu hình cầu di truyền
D58.9,Thiếu máu tan máu di truyền không đặc hiệu
D58.8,Các thiếu máu tan máu di truyền đặc hiệu khác
D58.1,Hồng cầu hình elip di truyền
D58.2,Các bệnh huyết sắc tố khác
D51.9,"Thiếu máu thiếu vitamin B12, không đặc hiệu"
D51.0,Thiếu máu thiếu vitamin B12 do thiếu yếu tố nội sinh
D51.2,Thiếu Transcobalamin II
D51.8,Thiếu máu thiếu vitamin B12 khác
D51.3,Thiếu máu thiếu vitamin B12 do chế độ ăn khác
D51.1,Thiếu vitamin B12 do giảm hấp thu chọn lọc vitamin B12 kèm theo protein niệu
D53.9,Thiếu máu dinh dưỡng không đặc hiệu
D53.8,Các thiếu máu dinh dưỡng đặc hiệu khác
D53.1,"Các thiếu máu nguyên hồng cầu khổng lồ khác, không phân loại nơi khác"
D53.0,Thiếu máu do thiếu protein
D53.2,Thiếu máu thiếu vitamin C
D52.8,Thiếu máu thiếu folate khác
D52.1,Thiếu máu thiếu folate do thuốc
D52.9,Thiếu máu thiếu folate không đặc hiệu
D52.0,Thiếu máu thiếu folate do chế độ ăn
D50.8,Thiếu máu thiếu sắt khác
D50.9,Thiếu máu thiếu sắt không đặc hiệu
D50.1,Chứng khó nuốt do thiếu sắt
D50.0,Thiếu máu thiếu sắt thứ phát do mất máu (mạn tính)
D83.9,Suy giảm miễn dịch biến thiên phổ biến không đặc hiệu
D83.0,Suy giảm miễn dịch một số biến thể do bất thường về số lượng và chức năng lympho B
D83.2,Suy giảm miễn dịch biến thể phổ biến với tự kháng thể chống lympho B hoặc T
D83.8,Suy giảm miễn dịch biến thiên phổ biến khác
D83.1,Suy giảm miễn dịch biến thể chủ yếu do rối loạn điều hoà miễn dịch của lympho T
D82.4,Hội chứng tăng immunoglobulin E [IgE]
D82.1,Hội chứng Di George
D82.3,Suy giảm miễn dịch sau đáp ứng bị khuyết thiếu với vi rút Epstein- Barr mang tính di truyền
D82.2,Suy giảm miễn dịch kèm chứng ngắn chi
D82.0,Hội chứng Wiskott- Aldrich
D82.9,"Suy giảm miễn dịch khiếm khuyết chủ yếu, không đặc hiệu"
D82.8,Suy giảm miễn dịch liên quan với các bất thường lớn đặc hiệu khác
D86.3,Bệnh sarcoid (u hạt) da
D86.1,Bệnh sarcoid (u hạt) hạch bạch huyết
D86.8,Bệnh sarcoid (u hạt) hỗn hợp và tại các khu vực khác
D86.0,Bệnh sarcoid (u hạt) phổi
D86.2,Bệnh sarcoid (u hạt) phổi và hạch bạch huyết
D86.9,Bệnh sarcoid (u hạt) không đặc hiệu
D80.7,Giảm gammaglobulin máu thoáng qua ở trẻ nhỏ
D80.9,"Thiếu hụt miễn dịch do thiếu kháng thể là chủ yếu, không đặc hiệu"
D80.1,Giảm gammaglobulin máu không có yếu tố gia đình
D80.0,Giảm gammaglobulin máu di truyền
D80.5,Suy giảm miễn dịch có tăng immunoglobulin M [IgM]
D80.2,Thiếu hụt immunoglobulin A IgA chọn lọc
D80.8,Suy giảm miễn dịch khác do thiếu kháng thể là chủ yếu
D80.3,Thiếu hụt phân nhóm immunoglobulin G IgG chọn lọc
D80.4,Thiếu hụt immunoglobulin M [IgM] chọn lọc
D80.6,Thiếu hụt kháng thể với hàm lượng các immunoglobulin giảm ít hoặc tăng immuglobulin máu
D89.8,"Rối loạn xác định khác liên quan đến cơ chế miễn dịch, không phân loại nơi khác"
D89.0,Tăng gammaglobulin máu đa dòng
D89.3,Hội chứng tái tạo miễn dịch
D89.9,"Rối loạn liên quan đến cơ chế miễn dịch, không đặc hiệu"
D89.1,Bệnh kháng thể (tăng globulin) ngưng kết lạnh
D89.2,Tăng gammaglobulin máu không đặc hiệu
D81.2,Thiếu hụt miễn dịch kết hợp nghiêm trọng [SCID] với số lượng lympho B thấp hoặc bình thường
D81.3,Thiếu hụt enzim adenosine deaminase [ADA]
D81.6,Thiếu hụt phức hợp hoà hợp tổ chức lớp I (MHC I)
D81.4,Hội chứng Nezelof
D81.8,Suy giảm miễn dịch kết hợp khác
D81.9,Suy giảm miễn dịch hỗn hợp không đặc hiệu
D81.1,Thiếu hụt miễn dịch kết hợp nghiêm trọng [SCID] với giảm số lượng lympho T và B
D81.7,Thiếu hụt phức hợp hoà hợp tổ chức lớp II (MHC II)
D81.0,Thiếu hụt miễn dịch kết hợp nghiêm trọng [SCID] với loạn sinh liên võng
D81.5,Thiếu hụt emzim purine nucleoside phosphorylase [PNP]
D84.0,Bất thường kháng nguyên chức năng 1 của lymphocyte [LFA- 1]
D84.9,Suy giảm miễn dịch không đặc hiệu
D84.8,Suy giảm miễn dịch đặc hiệu khác
D84.1,Bất thường của hệ thống bổ thể
D73.4,Nang lách
D73.1,Cường lách
D73.5,Nhồi máu lách
D73.2,Lách to sung huyết mạn tính
D73.3,Áp xe lách
D73.0,Thiểu năng lách
D73.8,Bệnh khác của lách
D73.9,Bệnh lách không đặc hiệu
D74.8,Methemoglobin huyết khác
D74.9,"Methaemoglobin huyết, không đặc hiệu"
D74.0,Methemoglobin huyết bẩm sinh
D75.1,Bệnh tăng hồng cầu thứ phát
D75.8,Bệnh đặc hiệu khác của máu và cơ quan tạo máu
D75.0,Tăng hồng cầu gia đình
D75.9,Bệnh của máu và cơ quan tạo máu không đặc hiệu
D72.8,Rối loạn đặc hiệu khác của bạch cầu
D72.9,Rối loạn bạch cầu không đặc hiệu
D72.1,Tình trạng tăng bạch cầu ưa acid
D72.0,Bất thường di truyền của bạch cầu
D76.2,Hội chứng thực bào máu liên quan đến nhiễm trùng
D76.3,Hội chứng mô bào khác
D76.1,Hội chứng thực bào máu (HLH)
D63.8*,Thiếu máu trong bệnh mạn tính phân loại nơi khác
D63.0*,Thiếu máu trong bệnh ác tính (C00- D48†)
D64.8,Thiếu máu đặc hiệu khác
D64.9,Thiếu máu không đặc hiệu
D64.4,Thiếu máu rối loạn sinh sản dòng hồng cầu bẩm sinh
D64.2,Thiếu máu nguyên hồng cầu sắt thứ phát do thuốc và độc chất
D64.0,Thiếu máu nguyên hồng cầu sắt di truyền
D64.3,Các thiếu máu nguyên hồng cầu sắt khác
D64.1,Thiếu máu nguyên hồng cầu sắt thứ phát do bệnh lý
D61.0,Suy tuỷ xương bẩm sinh
D61.1,Suy tuỷ xương do thuốc
D61.3,Suy tuỷ xương vô căn
D61.2,Suy tuỷ xương do các nguyên nhân ngoại sinh khác
D61.9,Suy tuỷ xương không đặc hiệu khác
D61.8,Suy tuỷ xương đặc hiệu khác
D60.9,Suy tuỷ xương một dòng hồng cầu mắc phải không đặc hiệu
D60.0,Suy tuỷ xương một dòng hồng cầu mắc phải mạn tính
D60.1,Suy tuỷ xương một dòng hồng cầu mắc phải thoáng qua
D60.8,Suy tuỷ xương một dòng hồng cầu mắc phải khác
D68.5,Bệnh tăng đông máu nguyên phát
D68.0,Bệnh Von Willebrand
D68.2,Thiếu các yếu tố đông máu khác do di truyền
D68.6,Bệnh tăng đông máu khác
D68.1,Thiếu yếu tố XI di truyền
D68.9,Rối loạn đông máu không đặc hiệu
D68.4,Thiếu hụt yếu tố đông máu mắc phải
D68.3,Xuất huyết do có kháng đông lưu hành
D68.8,Rối loạn đông máu đặc hiệu khác
D69.6,Giảm tiểu cầu không đặc hiệu
D69.1,Bất thường chất lượng tiểu cầu
D69.5,Giảm tiểu cầu thứ phát
D69.9,Tình trạng xuất huyết không đặc hiệu
